<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VOW3-TDG;D;25.11.2019;0:00:00;178.4800000;179.6400000;176.9800000;177.3000000;370541
VOW3-TDG;D;26.11.2019;0:00:00;177.2400000;177.7800000;175.6400000;176.2400000;337774
VOW3-TDG;D;27.11.2019;0:00:00;176.3000000;179.0000000;175.4000000;177.8800000;497407
VOW3-TDG;D;28.11.2019;0:00:00;177.4000000;177.4400000;176.0800000;176.4800000;238739
VOW3-TDG;D;29.11.2019;0:00:00;175.5600000;177.1800000;175.2000000;175.7800000;297843
VOW3-TDG;D;02.12.2019;0:00:00;175.6800000;178.4200000;174.3600000;174.7200000;618363
VOW3-TDG;D;03.12.2019;0:00:00;175.1800000;176.8600000;172.1600000;173.9000000;1000150
VOW3-TDG;D;04.12.2019;0:00:00;175.0000000;176.9200000;174.0800000;175.1600000;495326
VOW3-TDG;D;05.12.2019;0:00:00;175.2400000;176.6600000;174.3200000;175.2200000;386307
VOW3-TDG;D;06.12.2019;0:00:00;175.5800000;177.1200000;174.4000000;176.9200000;462487
VOW3-TDG;D;09.12.2019;0:00:00;176.7000000;177.8200000;175.7200000;175.8200000;327397
VOW3-TDG;D;10.12.2019;0:00:00;175.1200000;175.9200000;172.4400000;175.5000000;594133
VOW3-TDG;D;11.12.2019;0:00:00;175.6000000;178.6800000;175.5400000;178.6400000;574569
VOW3-TDG;D;16.12.2019;0:00:00;183.5400000;184.0800000;180.6400000;182.6000000;521624
VOW3-TDG;D;17.12.2019;0:00:00;182.4200000;182.6400000;180.5400000;181.2600000;440452
VOW3-TDG;D;18.12.2019;0:00:00;180.1000000;180.8600000;179.3400000;179.6800000;403227
VOW3-TDG;D;19.12.2019;0:00:00;179.2000000;179.9200000;175.7800000;176.9400000;562780
VOW3-TDG;D;20.12.2019;0:00:00;176.3400000;178.6800000;176.2400000;176.5600000;1119697
VOW3-TDG;D;23.12.2019;0:00:00;176.1400000;176.7200000;174.8200000;176.0000000;463941
VOW3-TDG;D;27.12.2019;0:00:00;176.8800000;177.1200000;175.1600000;176.6000000;305272
VOW3-TDG;D;30.12.2019;0:00:00;176.5000000;176.9800000;175.9600000;176.2400000;276189
VOW3-TDG;D;02.01.2020;0:00:00;175.6000000;180.7400000;175.5600000;180.4000000;561590
VOW3-TDG;D;03.01.2020;0:00:00;178.9000000;179.2400000;175.0000000;176.6400000;735575
VOW3-TDG;D;06.01.2020;0:00:00;175.0000000;176.3400000;173.1800000;176.0600000;513500
VOW3-TDG;D;07.01.2020;0:00:00;177.1400000;178.6000000;176.3800000;176.3800000;682891
VOW3-TDG;D;08.01.2020;0:00:00;175.0000000;176.7600000;174.1800000;176.4600000;705325
VOW3-TDG;D;09.01.2020;0:00:00;179.0000000;182.3600000;177.8800000;181.6400000;998009
VOW3-TDG;D;10.01.2020;0:00:00;182.0000000;186.8400000;181.1800000;185.6600000;1218881
VOW3-TDG;D;13.01.2020;0:00:00;186.0200000;186.4000000;184.6800000;185.4400000;623582
VOW3-TDG;D;14.01.2020;0:00:00;185.3000000;186.3200000;183.5800000;185.3400000;584693
VOW3-TDG;D;15.01.2020;0:00:00;185.1400000;185.4800000;181.0200000;182.3400000;772658
VOW3-TDG;D;16.01.2020;0:00:00;183.1000000;183.2800000;178.6400000;179.8400000;735600
VOW3-TDG;D;17.01.2020;0:00:00;181.2400000;183.4000000;180.6800000;181.6400000;766139
VOW3-TDG;D;20.01.2020;0:00:00;181.0000000;183.2600000;180.4200000;182.1000000;328692
VOW3-TDG;D;21.01.2020;0:00:00;180.6000000;183.4200000;179.7600000;181.7000000;508091
VOW3-TDG;D;22.01.2020;0:00:00;181.9000000;183.9800000;178.7000000;178.8400000;785786
VOW3-TDG;D;23.01.2020;0:00:00;178.2000000;180.1200000;176.3800000;176.6200000;609340
VOW3-TDG;D;24.01.2020;0:00:00;178.5000000;179.5000000;176.7400000;177.2400000;716252
VOW3-TDG;D;27.01.2020;0:00:00;174.5000000;174.8000000;170.4800000;171.6600000;1059138
VOW3-TDG;D;28.01.2020;0:00:00;173.0000000;173.0600000;170.5000000;172.1200000;791422
VOW3-TDG;D;29.01.2020;0:00:00;173.0000000;173.9800000;169.4600000;169.7400000;627620
VOW3-TDG;D;30.01.2020;0:00:00;168.2200000;170.4000000;163.5600000;163.7200000;1216147
VOW3-TDG;D;31.01.2020;0:00:00;163.0000000;164.9000000;161.9600000;162.7400000;1049115
VOW3-TDG;D;03.02.2020;0:00:00;162.4600000;163.4800000;161.3800000;162.6600000;681953
VOW3-TDG;D;04.02.2020;0:00:00;163.3600000;167.5600000;162.7200000;167.4000000;861606
VOW3-TDG;D;05.02.2020;0:00:00;167.5000000;172.2800000;165.6600000;170.7400000;984614
VOW3-TDG;D;06.02.2020;0:00:00;172.5200000;173.7200000;170.1600000;170.5800000;619534
VOW3-TDG;D;07.02.2020;0:00:00;169.2400000;169.3800000;165.1200000;166.6800000;978239
VOW3-TDG;D;10.02.2020;0:00:00;165.9400000;167.2200000;163.6400000;164.0000000;550229
VOW3-TDG;D;11.02.2020;0:00:00;166.0000000;168.5800000;165.3200000;167.5400000;789062
VOW3-TDG;D;12.02.2020;0:00:00;168.4800000;173.5600000;168.4400000;173.4000000;838345
VOW3-TDG;D;13.02.2020;0:00:00;171.5000000;172.8600000;169.8600000;172.3400000;805165
VOW3-TDG;D;14.02.2020;0:00:00;172.5000000;173.4800000;169.9600000;170.3600000;622037
VOW3-TDG;D;17.02.2020;0:00:00;173.3000000;174.4000000;172.3400000;172.7200000;572890
VOW3-TDG;D;18.02.2020;0:00:00;170.4800000;172.1800000;168.4800000;169.3200000;573926
VOW3-TDG;D;19.02.2020;0:00:00;170.7000000;171.4000000;168.8800000;170.5000000;378968
VOW3-TDG;D;20.02.2020;0:00:00;170.3000000;172.7800000;169.0800000;169.8800000;583293
VOW3-TDG;D;21.02.2020;0:00:00;168.8800000;170.5200000;165.2000000;165.9400000;985668
VOW3-TDG;D;24.02.2020;0:00:00;160.5000000;160.8600000;156.3200000;156.4400000;1680612
VOW3-TDG;D;26.02.2020;0:00:00;153.2000000;157.5000000;150.8000000;155.6600000;1535526
VOW3-TDG;D;27.02.2020;0:00:00;151.6000000;153.0800000;146.6800000;149.1600000;1972144
VOW3-TDG;D;28.02.2020;0:00:00;141.9800000;152.5000000;140.8800000;148.4400000;3013917
VOW3-TDG;D;02.03.2020;0:00:00;154.5000000;155.3800000;147.9800000;149.8200000;2279069
